datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration,strike,opt_type,S,iv,iv_pct
2026-03-11 01:45:00,102.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6126.0,0.8620058522606485,86.20058522606485
2026-03-11 01:45:00,99.0,953.0,953.0,953.0,953.0,0.0,365.0,365.0,CZCE.TA605P6800,300,6800,P,6126.0,0.7267751722270108,72.67751722270108
2026-03-11 01:45:00,102.0,239.5,255.5,239.5,250.5,25.0,1441.0,1416.0,CZCE.TA605C6900,300,6900,C,6126.0,0.7064299479954632,70.64299479954632
2026-03-11 01:45:00,102.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6126.0,0.7971142465410912,79.71142465410912
2026-03-11 01:50:00,103.0,202.5,208.0,199.0,208.0,258.0,10596.0,10644.0,CZCE.TA605C7300,300,7300,C,6106.0,0.7929252448620959,79.29252448620959
2026-03-11 01:50:00,40.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6106.0,0.7392889781675794,73.92889781675794
2026-03-11 01:50:00,103.0,1070.0,1070.0,1070.0,1070.0,0.0,215.0,215.0,CZCE.TA605P6900,300,6900,P,6106.0,0.7732363577408505,77.32363577408505
2026-03-11 01:50:00,102.0,214.0,216.0,209.5,216.0,62.0,2209.0,2209.0,CZCE.TA605C7200,300,7200,C,6106.0,0.7715727215938928,77.15727215938928
2026-03-11 01:50:00,103.0,1190.5,1190.5,1190.5,1190.5,0.0,42.0,42.0,CZCE.TA605P7000,300,7000,P,6106.0,0.8429267961259155,84.29267961259154
2026-03-11 01:50:00,101.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6106.0,0.7575125043653356,75.75125043653355
2026-03-11 01:50:00,103.0,236.0,236.0,232.5,232.5,22.0,1428.0,1419.0,CZCE.TA605C7000,300,7000,C,6106.0,0.7263067412327343,72.63067412327344
2026-03-11 01:50:00,103.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6106.0,0.7727845719324289,77.27845719324289
2026-03-11 01:50:00,103.0,250.5,253.5,242.0,253.5,130.0,1416.0,1473.0,CZCE.TA605C6900,300,6900,C,6106.0,0.7209499844417743,72.09499844417742
2026-03-11 01:50:00,100.0,953.0,953.0,953.0,953.0,0.0,365.0,365.0,CZCE.TA605P6800,300,6800,P,6106.0,0.70795517913511,70.79551791351099
2026-03-11 01:50:00,103.0,222.5,226.5,221.0,226.5,56.0,829.0,828.0,CZCE.TA605C7100,300,7100,C,6106.0,0.7532393607949027,75.32393607949027
2026-03-11 01:50:00,103.0,259.5,259.5,259.5,259.5,0.0,1168.0,1168.0,CZCE.TA605C6800,300,6800,C,6106.0,0.6905818567466875,69.05818567466875
2026-03-11 01:55:00,104.0,226.5,240.5,226.5,234.5,93.0,828.0,868.0,CZCE.TA605C7100,300,7100,C,6150.0,0.7449670191548642,74.49670191548641
2026-03-11 01:55:00,103.0,216.0,229.0,216.0,221.5,129.0,2209.0,2225.0,CZCE.TA605C7200,300,7200,C,6150.0,0.7599240097104747,75.99240097104747
2026-03-11 01:55:00,104.0,259.5,277.5,259.5,275.5,11.0,1168.0,1159.0,CZCE.TA605C6800,300,6800,C,6150.0,0.6914610352969631,69.14610352969632
2026-03-11 01:55:00,102.0,1288.5,1288.5,1288.5,1288.5,0.0,137.0,137.0,CZCE.TA605P7200,300,7200,P,6150.0,0.8074624932177191,80.74624932177191
2026-03-11 01:55:00,104.0,253.5,263.5,253.5,260.5,42.0,1473.0,1503.0,CZCE.TA605C6900,300,6900,C,6150.0,0.7094724055344298,70.94724055344298
2026-03-11 01:55:00,104.0,1190.5,1190.5,1097.5,1097.5,1.0,42.0,43.0,CZCE.TA605P7000,300,7000,P,6150.0,0.7473079403560009,74.73079403560008
2026-03-11 01:55:00,104.0,1070.0,1070.0,1009.0,1009.0,4.0,215.0,219.0,CZCE.TA605P6900,300,6900,P,6150.0,0.7256513001677384,72.56513001677384
2026-03-11 01:55:00,104.0,232.5,250.0,232.5,247.0,56.0,1419.0,1414.0,CZCE.TA605C7000,300,7000,C,6150.0,0.7274525774896512,72.74525774896512
2026-03-11 01:55:00,104.0,1377.0,1377.0,1377.0,1377.0,0.0,189.0,189.0,CZCE.TA605P7300,300,7300,P,6150.0,0.8249928140460088,82.49928140460088
2026-03-11 01:55:00,101.0,953.0,953.0,953.0,953.0,0.0,365.0,365.0,CZCE.TA605P6800,300,6800,P,6150.0,0.7487070553742774,74.87070553742774
2026-03-11 01:55:00,41.0,1199.0,1199.0,1199.0,1199.0,0.0,35.0,35.0,CZCE.TA605P7100,300,7100,P,6150.0,0.787136608204718,78.7136608204718
2026-03-11 01:55:00,104.0,208.0,217.0,208.0,211.5,722.0,10644.0,10964.0,CZCE.TA605C7300,300,7300,C,6150.0,0.7782674167216356,77.82674167216356
2026-03-11 02:00:00,105.0,247.0,255.0,242.5,255.0,138.0,1414.0,1277.0,CZCE.TA605C7000,300,7000,C,6140.0,0.7445483923613138,74.45483923613138
2026-03-11 02:00:00,105.0,211.5,217.0,206.5,217.0,800.0,10964.0,11387.0,CZCE.TA605C7300,300,7300,C,6140.0,0.7920701341053601,79.207013410536
2026-03-11 02:00:00,104.0,221.5,230.0,217.0,230.0,85.0,2225.0,2193.0,CZCE.TA605C7200,300,7200,C,6140.0,0.778305750741764,77.8305750741764
